size,array_type,algorithm,time_ms,char_comps
100,random,std_quicksort,0.0024916,2320
100,random,std_mergesort,0.0117168,606
100,random,tsq,0.0021666,591
100,random,string_mergesort,0.0109002,587
100,random,msd_radix,0.0099164,350
100,random,msd_radix_hybrid,0.0036334,286
100,reverse,std_quicksort,0.0022164,2288
100,reverse,std_mergesort,0.0109084,368
100,reverse,tsq,0.0022082,596
100,reverse,string_mergesort,0.0105336,363
100,reverse,msd_radix,0.0096498,350
100,reverse,msd_radix_hybrid,0.0035664,286
100,almost,std_quicksort,0.00195,2016
100,almost,std_mergesort,0.0123416,560
100,almost,tsq,0.0020082,616
100,almost,string_mergesort,0.0098916,543
100,almost,msd_radix,0.0097334,350
100,almost,msd_radix_hybrid,0.0034582,286
200,random,std_quicksort,0.00555,4938
200,random,std_mergesort,0.0233418,1496
200,random,tsq,0.00455,1511
200,random,string_mergesort,0.0211832,1411
200,random,msd_radix,0.0192584,784
200,random,msd_radix_hybrid,0.0061082,658
200,reverse,std_quicksort,0.0048,5011
200,reverse,std_mergesort,0.0179334,909
200,reverse,tsq,0.003825,1416
200,reverse,string_mergesort,0.0197,867
200,reverse,msd_radix,0.0190248,784
200,reverse,msd_radix_hybrid,0.0066334,658
200,almost,std_quicksort,0.0051918,6965
200,almost,std_mergesort,0.0196414,1349
200,almost,tsq,0.0038668,1432
200,almost,string_mergesort,0.0211504,1277
200,almost,msd_radix,0.0190416,784
200,almost,msd_radix_hybrid,0.0061584,658
300,random,std_quicksort,0.0089918,8429
300,random,std_mergesort,0.0403918,2532
300,random,tsq,0.006742,2274
300,random,string_mergesort,0.0340168,2322
300,random,msd_radix,0.0263498,1218
300,random,msd_radix_hybrid,0.009325,1099
300,reverse,std_quicksort,0.0076418,8005
300,reverse,std_mergesort,0.0309502,1517
300,reverse,tsq,0.0058084,2333
300,reverse,string_mergesort,0.0312998,1415
300,reverse,msd_radix,0.0261168,1218
300,reverse,msd_radix_hybrid,0.0096416,1096
300,almost,std_quicksort,0.0071502,8563
300,almost,std_mergesort,0.0319248,2295
300,almost,tsq,0.0063168,2290
300,almost,string_mergesort,0.0342086,2103
300,almost,msd_radix,0.031675,1218
300,almost,msd_radix_hybrid,0.0103088,1103
400,random,std_quicksort,0.0121918,11749
400,random,std_mergesort,0.0543832,3640
400,random,tsq,0.00985,3250
400,random,string_mergesort,0.0490334,3293
400,random,msd_radix,0.0351498,1652
400,random,msd_radix_hybrid,0.014425,1573
400,reverse,std_quicksort,0.010867,10629
400,reverse,std_mergesort,0.0408916,2195
400,reverse,tsq,0.0080418,3309
400,reverse,string_mergesort,0.0443166,2004
400,reverse,msd_radix,0.0363168,1652
400,reverse,msd_radix_hybrid,0.0135252,1565
400,almost,std_quicksort,0.0107914,12621
400,almost,std_mergesort,0.0454668,3295
400,almost,tsq,0.0090918,3302
400,almost,string_mergesort,0.0441168,2990
400,almost,msd_radix,0.033425,1652
400,almost,msd_radix_hybrid,0.0155998,1569
500,random,std_quicksort,0.0168248,14500
500,random,std_mergesort,0.0778914,4824
500,random,tsq,0.0133502,3966
500,random,string_mergesort,0.0608168,4299
500,random,msd_radix,0.0414582,2072
500,random,msd_radix_hybrid,0.0200166,2094
500,reverse,std_quicksort,0.013625,13428
500,reverse,std_mergesort,0.0569668,3001
500,reverse,tsq,0.010142,4177
500,reverse,string_mergesort,0.05285,2661
500,reverse,msd_radix,0.040075,2072
500,reverse,msd_radix_hybrid,0.0190336,2060
500,almost,std_quicksort,0.0118332,14566
500,almost,std_mergesort,0.0590332,4200
500,almost,tsq,0.0108918,3975
500,almost,string_mergesort,0.0596418,3790
500,almost,msd_radix,0.0605418,2072
500,almost,msd_radix_hybrid,0.0243586,2067
600,random,std_quicksort,0.0235916,18304
600,random,std_mergesort,0.0936332,6119
600,random,tsq,0.0164416,5308
600,random,string_mergesort,0.0740416,5344
600,random,msd_radix,0.0443082,2502
600,random,msd_radix_hybrid,0.0209498,2639
600,reverse,std_quicksort,0.0166416,16419
600,reverse,std_mergesort,0.0678666,3649
600,reverse,tsq,0.0122668,5155
600,reverse,string_mergesort,0.060383,3212
600,reverse,msd_radix,0.0452666,2502
600,reverse,msd_radix_hybrid,0.0207334,2581
600,almost,std_quicksort,0.0143,16415
600,almost,std_mergesort,0.0701834,5374
600,almost,tsq,0.0128084,5254
600,almost,string_mergesort,0.0638166,4719
600,almost,msd_radix,0.0454334,2502
600,almost,msd_radix_hybrid,0.0206168,2589
700,random,std_quicksort,0.0231166,20726
700,random,std_mergesort,0.110492,7433
700,random,tsq,0.019175,5885
700,random,string_mergesort,0.087625,6409
700,random,msd_radix,0.05005,2928
700,random,msd_radix_hybrid,0.0260338,3234
700,reverse,std_quicksort,0.0219998,18233
700,reverse,std_mergesort,0.075067,4384
700,reverse,tsq,0.0164504,6267
700,reverse,string_mergesort,0.0747998,3831
700,reverse,msd_radix,0.0515332,2928
700,reverse,msd_radix_hybrid,0.025525,3131
700,almost,std_quicksort,0.0213832,26261
700,almost,std_mergesort,0.0825836,6519
700,almost,tsq,0.0151002,5877
700,almost,string_mergesort,0.0765248,5631
700,almost,msd_radix,0.0524666,2928
700,almost,msd_radix_hybrid,0.0262418,3167
800,random,std_quicksort,0.0264416,24366
800,random,std_mergesort,0.131025,8765
